items	num_genomes_gene_cluster_has_hits	num_genes_in_gene_cluster	max_num_paralogs	SCG	functional_homogeneity_index	geometric_homogeneity_index	combined_homogeneity_index
GC_00000001	25	371	35	0	0.413495967816771	0.779153529148363	0.54027078941949
GC_00000002	15	199	24	0	0.432392066917582	0.776137779390353	0.555378619185392
GC_00000003	34	182	13	0	0.493545556851893	0.861918912102225	0.627675987350532
GC_00000004	28	181	15	0	0.274755665313912	0.762416036454816	0.403941073565559
GC_00000005	19	128	21	0	0.444026947869141	0.719009185645924	0.54901037894211
GC_00000006	18	124	19	0	0.530330444895911	0.859742715486992	0.65600538129179
GC_00000007	45	113	7	0	0.596247650007678	0.790872321533805	0.679906241486258
GC_00000008	28	110	14	0	0.481533445143753	0.74193894218701	0.584023666765494
GC_00000009	30	103	8	0	0.83907872834878	0.721082728627289	0.775618672369414
GC_00000010	47	97	5	0	0.77496753165499	0.810052357525772	0.792121638735425
GC_00000011	29	96	6	0	0.795587167144739	0.777185761119971	0.78627881612494
GC_00000012	18	96	8	0	0.685328405146744	0.775862818336163	0.727790886446151
GC_00000013	47	95	4	0	0.708429805164054	0.887329508798996	0.787851483033041
GC_00000014	29	84	7	0	0.55889097763786	0.754093094599875	0.641981629148922
GC_00000015	33	82	8	0	0.675789384580849	0.675731245976975	0.675760314028433
GC_00000016	46	81	5	0	0.74034433748283	0.812088446592796	0.774558601360889
GC_00000017	46	80	3	0	0.69617099978082	0.826962428539853	0.755951185829477
GC_00000018	45	78	3	0	0.706958480207697	0.927358425866897	0.802297156594108
GC_00000019	46	78	5	0	0.712476160739285	0.915110904499031	0.801179510225042
GC_00000020	47	78	3	0	0.74285137037902	0.891214160290888	0.810297564996504
GC_00000021	45	77	5	0	0.770019470145248	0.750057544794383	0.759907435668914
GC_00000022	46	76	2	0	0.700420494138853	0.849703981924793	0.767873925070619
GC_00000023	7	75	24	0	0.927121541963638	0.811498711111615	0.865465514987005
GC_00000024	47	75	3	0	0.78045114581064	0.925846052889556	0.846953992976545
GC_00000025	46	74	5	0	0.74561050038686	0.780617893086035	0.76271271110401
GC_00000026	45	73	3	0	0.72290922817599	0.906043900414091	0.804182128074895
GC_00000027	41	70	4	0	0.777006726437539	0.801361221675741	0.788996076982635
GC_00000028	28	69	6	0	0.673338875925761	0.727763470267464	0.699494135230212
GC_00000029	41	68	5	0	0.764231012811154	0.731788720242031	0.747658098991751
GC_00000030	29	67	5	0	0.564853346653146	0.740132537300166	0.640721628948808
